,qiymət,şəhər,marka,model,rəng,mühərrik_sm³,yanacaq_növü,sürətlər_qutusu,kuzov_növü,buraxılış_ili,yürüş_km
78,9 500 AZN,Bakı,Mercedes,E 300,Qızılı,3000,Dizel,Avtomat,Sedan,1994,485000
79,2 000 AZN,Bakı,LADA (VAZ),2106,Bej,1600,Benzin,Mexaniki,Sedan,1989,2000
80,3 700 AZN,Zaqatala,LADA (VAZ),2107,Bənövşəyi,160,Benzin,Mexaniki,Sedan,1999,52000
81,3 300 AZN,Yevlax,LADA (VAZ),2112,Gümüşü,1500,Benzin,Mexaniki,Hetçbek,2004,25361
82,16 200 AZN,Bakı,Hyundai,i30,Qara,1600,Dizel,Mexaniki,Hetçbek,2010,191000
83,2 000 AZN,Bakı,Hyundai,Elantra,Yaşıl,1600,Benzin,Mexaniki,Sedan,1995,350000
84,4 444 AZN,Bakı,Geely,CK,Qara,120,Benzin,Mexaniki,Sedan,2011,123444
85,13 700 AZN,Bakı,LADA (VAZ),Priora,Yaş Asfalt,1600,Benzin,Mexaniki,Sedan,2015,200000
86,6 400 AZN,Bakı,Iran Khodro,Azsamand,Gümüşü,1800,Qaz,Mexaniki,Sedan,2008,512317
87,11 000 AZN,Bakı,Mercedes,E 280,Qara,2800,Benzin,Avtomat,Sedan,1998,295000
88,6 000 AZN,Bakı,Opel,Astra,Göy,1600,Benzin,Mexaniki,Sedan,1997,358909
89,2 000 AZN,Göyçay,LADA (VAZ),2106,Qəhvəyi,75,Benzin,Mexaniki,Sedan,1989,120000
90,6 200 AZN,Bakı,Opel,Astra,Mavi,1600,Benzin,Mexaniki,Universal,1995,500000
91,3 100 AZN,Beyləqan,LADA (VAZ),2106,Bej,1568,Benzin,Mexaniki,Sedan,1985,99286
92,5 750 AZN,Bakı,LADA (VAZ),2107,Ağ,1600,Benzin,Mexaniki,Sedan,2007,68529
93,14 800 AZN,Bakı,BMW,525,Gümüşü,260,Dizel,Avtomat,Sedan,2002,260
94,12 000 AZN,Bakı,Mercedes,E 200,Gümüşü,200,Benzin,Avtomat,Sedan,1998,338000
95,6 000 AZN,Xaçmaz,LADA (VAZ),2106,Göy,1570,Benzin,Mexaniki,Sedan,2001,72500
